Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5
Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
2.550	18.134	15.010	3.491	0.2597	0.215	0.050	2.550	17.349	14.312	5.236	0.2485	0.205	0.075	2.550	17.942	14.486	5.236	0.2570	0.208	0.075	2.550	17.645	14.486	5.236	0.2528	0.207	0.075	2.550	17.733	14.486	5.236	0.2540	0.208	0.075
2.600	18.884	15.010	3.491	0.2705	0.215	0.050	2.600	18.064	14.661	6.981	0.2587	0.210	0.100	2.600	18.675	14.661	5.236	0.2675	0.210	0.075	2.600	18.378	14.835	6.981	0.2633	0.212	0.100	2.600	18.466	14.835	5.236	0.2645	0.212	0.075
2.650	19.635	15.359	6.981	0.2812	0.220	0.100	2.650	18.815	15.010	5.236	0.2695	0.215	0.075	2.650	19.408	15.010	6.981	0.2780	0.215	0.100	2.650	19.129	15.184	6.981	0.2740	0.218	0.100	2.650	19.216	15.010	5.236	0.2753	0.215	0.075
2.700	20.420	15.708	5.236	0.2925	0.225	0.075	2.700	19.565	15.184	3.491	0.2802	0.218	0.050	2.700	20.176	15.359	5.236	0.2890	0.220	0.075	2.700	19.897	15.533	5.236	0.2850	0.223	0.075	2.700	19.967	15.359	6.981	0.2860	0.220	0.100
2.750	21.206	15.882	3.491	0.3038	0.228	0.050	2.750	20.333	15.359	5.236	0.2913	0.220	0.075	2.750	20.944	15.533	3.491	0.3000	0.223	0.050	2.750	20.682	15.708	5.236	0.2963	0.225	0.075	2.750	20.752	15.708	5.236	0.2972	0.225	0.075
2.800	22.009	16.057	5.236	0.3153	0.230	0.075	2.800	21.101	15.708	6.981	0.3023	0.225	0.100	2.800	21.729	15.708	5.236	0.3113	0.225	0.075	2.800	21.468	16.057	6.981	0.3075	0.230	0.100	2.800	21.537	15.882	5.236	0.3085	0.227	0.075
2.850	22.811	16.406	8.727	0.3267	0.235	0.125	2.850	21.904	16.057	5.236	0.3138	0.230	0.075	2.850	22.515	16.057	6.981	0.3225	0.230	0.100	2.850	22.288	16.406	3.491	0.3193	0.235	0.050	2.850	22.340	16.232	5.236	0.3200	0.232	0.075
2.900	23.649	16.930	6.981	0.3387	0.243	0.100	2.900	22.707	16.232	5.236	0.3252	0.232	0.075	2.900	23.335	16.406	3.491	0.3342	0.235	0.050	2.900	23.108	16.406	3.491	0.3310	0.235	0.050	2.900	23.161	16.406	3.491	0.3317	0.235	0.050
2.950	24.504	17.104	3.491	0.3510	0.245	0.050	2.950	23.527	16.581	5.236	0.3370	0.238	0.075	2.950	24.155	16.406	3.491	0.3460	0.235	0.050	2.950	23.928	16.755	6.981	0.3427	0.240	0.100	2.950	23.981	16.581	5.236	0.3435	0.238	0.075
3.000	25.360	17.279	3.491	0.3633	0.247	0.050	3.000	24.365	16.755	5.236	0.3490	0.240	0.075	3.000	24.976	16.755	6.981	0.3578	0.240	0.100	3.000	24.784	17.104	5.236	0.3550	0.245	0.075	3.000	24.819	16.930	6.981	0.3555	0.242	0.100
